timestamp,TC_ASRControlSts,BLCActive,TC_VDCShiftInterferenceValidData,TC_VDCShiftInterference,MasterCylinderPressureValidData,MasterCylinderPressure,CommandedSilenceRequest,ERMActive,RollsModeAct,HillHolderActive,TTCActive,HBAActive,PrefillActive
1589449618.0157263,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.0258691,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.0360036,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.045873,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.0557277,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.0658689,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.0757277,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.0858665,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.0958457,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1058805,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1157212,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1258638,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1357207,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1458662,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.155998,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.165875,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1759942,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.1859066,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.1957939,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2058787,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2168825,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.227035,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2359948,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2462559,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.255715,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2658677,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2757163,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.285909,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.2958598,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.305877,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.315714,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.3259282,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.335745,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.3458858,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.3557115,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.3660247,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.375994,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.3861566,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.3958874,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.4058926,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.4157052,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.426068,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.435997,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.4458902,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.4557242,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.4670377,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.4757116,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.4858906,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.495873,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5058882,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5157003,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5258794,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.535996,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5458786,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5556982,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5658836,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.575698,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5858884,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.5958629,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6058981,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6156926,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6258812,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.635698,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.645885,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6556907,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6665356,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6768548,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449618.6870477,0,0,0,0,0,15.0,0,0,0,0,0,0,0
1589449618.695871,0,0,0,0,0,14.75,0,0,0,0,0,0,0
