timestamp,BatteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBSFailSts,BCMSAMFailSts
1588751257.526534,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.626552,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.726752,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.827024,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751257.926529,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.026734,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.126608,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.226622,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.32661,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.426863,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.529462,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.626609,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.726607,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.926623,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751258.826611,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.026859,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.126648,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.226721,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.326596,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.427056,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.52666,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.626827,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.726616,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.829439,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751259.929457,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.026619,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.126611,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.226847,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.326595,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.42673,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.529434,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.626627,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.726605,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.826864,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751260.926641,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751261.326605,4.0,0,10.6,14.8,-250.0,-30,0,0
